timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
15.2,47.671,9.51453,0,90,7.5,0,0,0,cruise,0,engine
15.3,47.671,9.51454,0,90,7.5,0,0,0,cruise,0,engine
15.4,47.671,9.51456,0,90,7.5,0,0,0,cruise,0,engine
15.5,47.671,9.51457,0,90,7.5,0,0,0,cruise,0,engine
15.6,47.671,9.51458,0,90,7.5,0,0,0,cruise,0,engine
15.7,47.671,9.51459,0,90,7.5,0,0,0,cruise,0,engine
15.8,47.671,9.5146,0,90,7.5,0,0,0,cruise,0,engine
15.9,47.671,9.51461,0,90,7.5,0,0,0,cruise,0,engine
16,47.671,9.51462,0,90,7.5,0,0,0,cruise,0,engine
16.1,47.671,9.51463,0,90,7.5,0,0,0,cruise,0,engine
16.2,47.671,9.51464,0,90,7.5,0,0,0,cruise,0,engine
16.3,47.671,9.51465,0,90,7.5,0,0,0,cruise,0,engine
16.4,47.671,9.51466,0,90,7.5,0,0,0,cruise,0,engine
16.5,47.671,9.51467,0,90,7.5,0,0,0,cruise,0,engine
16.6,47.671,9.51468,0,90,7.5,0,0,0,cruise,0,engine
16.7,47.671,9.51469,0,90,7.5,0,0,0,cruise,0,engine
16.8,47.671,9.5147,0,90,7.5,0,0,0,cruise,0,engine
16.9,47.671,9.51471,0,90,7.5,0,0,0,cruise,0,engine
17,47.671,9.51472,0,90,7.5,0,0,0,cruise,0,engine
17.1,47.671,9.51473,0,90,7.5,0,0,0,cruise,0,engine
17.2,47.671,9.51474,0,90,7.5,0,0,0,cruise,0,engine
17.3,47.671,9.51475,0,90,7.5,0,0,0,cruise,0,engine
17.4,47.671,9.51476,0,90,7.5,0,0,0,cruise,0,engine
17.5,47.671,9.51477,0,90,7.5,0,0,0,cruise,0,engine
17.6,47.671,9.51478,0,90,7.5,0,0,0,cruise,0,engine
17.7,47.671,9.51479,0,90,7.5,0,0,0,cruise,0,engine
17.8,47.671,9.5148,0,90,7.5,0,0,0,cruise,0,engine
17.9,47.671,9.51481,0,90,7.5,0,0,0,cruise,0,engine
18,47.671,9.51482,0,90,7.5,0,0,0,cruise,0,engine
18.1,47.671,9.51483,0,90,7.5,0,0,0,cruise,0,engine
18.2,47.671,9.51484,0,90,7.5,0,0,0,cruise,0,engine
18.3,47.671,9.51485,0,90,7.5,0,0,0,cruise,0,engine
18.4,47.671,9.51486,0,90,7.5,0,0,0,cruise,0,engine
18.5,47.671,9.51487,0,90,7.5,0,0,0,cruise,0,engine
18.6,47.671,9.51488,0,90,7.5,0,0,0,cruise,0,engine
18.7,47.671,9.51489,0,90,7.5,0,0,0,cruise,0,engine
18.8,47.671,9.5149,0,90,7.5,0,0,0,cruise,0,engine
18.9,47.671,9.51491,0,90,7.5,0,0,0,cruise,0,engine
19,47.671,9.51492,0,90,7.5,0,0,0,cruise,0,engine
19.1,47.671,9.51493,0,90,7.5,0,0,0,cruise,0,engine
19.2,47.671,9.51494,0,90,7.5,0,0,0,cruise,0,engine
19.3,47.671,9.51495,0,90,7.5,0,0,0,cruise,0,engine
19.4,47.671,9.51496,0,90,7.5,0,0,0,cruise,0,engine
19.5,47.671,9.51497,0,90,7.5,0,0,0,cruise,0,engine
19.6,47.671,9.51498,0,90,7.5,0,0,0,cruise,0,engine
19.7,47.671,9.51499,0,90,7.5,0,0,0,cruise,0,engine
19.8,47.671,9.515,0,90,7.5,0,0,0,cruise,0,engine
19.9,47.671,9.51501,0,90,7.5,0,0,0,cruise,0,engine
20,47.671,9.51502,0,90,7.5,0,0,0,cruise,0,engine
20.1,47.671,9.51503,0,90,7.5,0,0,0,cruise,0,engine
20.2,47.671,9.51504,0,90,7.5,0,0,0,cruise,0,engine
20.3,47.671,9.51505,0,90,7.5,0,0,0,cruise,0,engine
20.4,47.671,9.51506,0,90,7.5,0,0,0,cruise,0,engine
20.5,47.671,9.51507,0,90,7.5,0,0,0,cruise,0,engine
20.6,47.671,9.51508,0,90,7.5,0,0,0,cruise,0,engine
20.7,47.671,9.51509,0,90,7.5,0,0,0,cruise,0,engine
20.8,47.671,9.5151,0,90,7.5,0,0,0,cruise,0,engine
20.9,47.671,9.51511,0,90,7.5,0,0,0,cruise,0,engine
21,47.671,9.51512,0,90,7.5,0,0,0,cruise,0,engine
21.1,47.671,9.51513,0,90,7.5,0,0,0,cruise,0,engine
21.2,47.671,9.51514,0,90,7.5,0,0,0,cruise,0,engine
21.3,47.671,9.51515,0,90,7.5,0,0,0,cruise,0,engine
21.4,47.671,9.51516,0,90,7.5,0,0,0,cruise,0,engine
21.5,47.671,9.51517,0,90,7.5,0,0,0,cruise,0,engine
21.6,47.671,9.51518,0,90,7.5,0,0,0,cruise,0,engine
21.7,47.671,9.51519,0,90,7.5,0,0,0,cruise,0,engine
21.8,47.671,9.5152,0,90,7.5,0,0,0,cruise,0,engine
21.9,47.671,9.51521,0,90,7.5,0,0,0,cruise,0,engine
22,47.671,9.51522,0,90,7.5,0,0,0,cruise,0,engine
22.1,47.671,9.51523,0,90,7.5,0,0,0,cruise,0,engine
22.2,47.671,9.51524,0,90,7.5,0,0,0,cruise,0,engine
22.3,47.671,9.51525,0,90,7.5,0,0,0,cruise,0,engine
22.4,47.671,9.51526,0,90,7.5,0,0,0,cruise,0,engine
22.5,47.671,9.51527,0,90,7.5,0,0,0,cruise,0,engine
22.6,47.671,9.51528,0,90,7.5,0,0,0,cruise,0,engine
22.7,47.671,9.51529,0,90,7.5,0,0,0,cruise,0,engine
22.8,47.671,9.5153,0,90,7.5,0,0,0,cruise,0,engine
22.9,47.671,9.51531,0,90,7.5,0,0,0,cruise,0,engine
23,47.671,9.51532,0,90,7.5,0,0,0,cruise,0,engine
23.1,47.671,9.51533,0,90,7.5,0,0,0,cruise,0,engine
23.2,47.671,9.51534,0,90,7.5,0,0,0,cruise,0,engine
23.3,47.671,9.51535,0,90,7.5,0,0,0,cruise,0,engine
23.4,47.671,9.51536,0,90,7.5,0,0,0,cruise,0,engine
23.5,47.671,9.51537,0,90,7.5,0,0,0,cruise,0,engine
23.6,47.671,9.51538,0,90,7.5,0,0,0,cruise,0,engine
23.7,47.671,9.51539,0,90,7.5,0,0,0,cruise,0,engine
23.8,47.671,9.5154,0,90,7.5,0,0,0,cruise,0,engine
23.9,47.671,9.51541,0,90,7.5,0,0,0,cruise,0,engine
24,47.671,9.51542,0,90,7.5,0,0,0,cruise,0,engine
24.1,47.671,9.51543,0,90,7.5,0,0,0,cruise,0,engine
24.2,47.671,9.51544,0,90,7.5,0,0,0,cruise,0,engine
24.3,47.671,9.51545,0,90,7.5,0,0,0,cruise,0,engine
24.4,47.671,9.51546,0,90,7.5,0,0,0,cruise,0,engine
24.5,47.671,9.51547,0,90,7.5,0,0,0,cruise,0,engine
24.6,47.671,9.51548,0,90,7.5,0,0,0,cruise,0,engine
24.7,47.671,9.51549,0,90,7.5,0,0,0,cruise,0,engine
24.8,47.671,9.5155,0,90,7.5,0,0,0,cruise,0,engine
24.9,47.671,9.51551,0,90,7.5,0,0,0,cruise,0,engine
25,47.671,9.51552,0,90,7.5,0,0,0,cruise,0,engine
25.1,47.671,9.51553,0,90,7.5,0,0,0,cruise,0,engine
25.2,47.671,9.51554,0,90,7.5,0,0,0,cruise,0,engine
25.3,47.671,9.51555,0,90,7.5,0,0,0,cruise,0,engine
25.4,47.671,9.51556,0,90,7.5,0,0,0,cruise,0,engine
25.5,47.671,9.51557,0,90,7.5,0,0,0,cruise,0,engine
25.6,47.671,9.51558,0,90,7.5,0,0,0,cruise,0,engine
25.7,47.671,9.51559,0,90,7.5,0,0,0,cruise,0,engine
25.8,47.671,9.5156,0,90,7.5,0,0,0,cruise,0,engine
25.9,47.671,9.51561,0,90,7.5,0,0,0,cruise,0,engine
26,47.671,9.51562,0,90,7.5,0,0,0,cruise,0,engine
26.1,47.671,9.51563,0,90,7.5,0,0,0,cruise,0,engine
26.2,47.671,9.51564,0,90,7.5,0,0,0,cruise,0,engine
26.3,47.671,9.51565,0,90,7.5,0,0,0,cruise,0,engine
26.4,47.671,9.51566,0,90,7.5,0,0,0,cruise,0,engine
26.5,47.671,9.51567,0,90,7.5,0,0,0,cruise,0,engine
26.6,47.671,9.51568,0,90,7.5,0,0,0,cruise,0,engine
26.7,47.671,9.51569,0,90,7.5,0,0,0,cruise,0,engine
26.8,47.671,9.5157,0,90,7.5,0,0,0,cruise,0,engine
26.9,47.671,9.51571,0,90,7.5,0,0,0,cruise,0,engine
27,47.671,9.51572,0,90,7.5,0,0,0,cruise,0,engine
27.1,47.671,9.51573,0,90,7.5,0,0,0,cruise,0,engine
27.2,47.671,9.51574,0,90,7.5,0,0,0,cruise,0,engine
